Time, Weight
ACK_SYNC_SINGLE
Taring... Remove any weight.
Tare complete.
16:54:27.112, -550853
16:54:27.212, -550871
16:54:27.312, -550822
16:54:27.412, -550841
16:54:27.512, -550857
16:54:27.612, -550888
16:54:27.712, -550882
16:54:27.812, -550881
16:54:27.912, -550890
16:54:28.012, -550892
16:54:28.212, -550887
16:54:28.312, -550854
16:54:28.412, -550844
16:54:28.512, -550866
16:54:28.612, -550866
16:54:28.712, -550846
16:54:28.812, -550859
16:54:28.912, -550866
16:54:29.012, -550853
16:54:29.112, -550828
16:54:29.212, -550842
16:54:29.312, -550893
16:54:29.412, -550846
16:54:29.512, -550805
16:54:29.612, -550846
16:54:29.712, -550893
16:54:29.812, -550883
16:54:29.912, -550867
16:54:30.012, -550893
16:54:30.112, -550860
16:54:30.212, -550896
16:54:30.312, -550866
16:54:30.412, -550861
16:54:30.512, -550815
16:54:30.612, -550856
16:54:30.712, -550866
16:54:30.812, -550915
16:54:30.912, -550946
16:54:31.112, -550870
16:54:31.212, -550887
16:54:31.312, -550884
16:54:31.412, -550890
16:54:31.512, -550920
16:54:31.612, -550885
16:54:31.712, -550875
16:54:31.812, -550874
16:54:31.912, -550819
16:54:32.012, -550832
16:54:32.112, -550832
16:54:32.212, -550874
16:54:32.312, -550899
16:54:32.412, -550895
16:54:32.512, -550833
16:54:32.612, -550826
16:54:32.712, -550824
16:54:32.812, -550822
16:54:32.912, -550922
16:54:33.012, -551944
16:54:33.112, -553955
16:54:33.212, -538616
16:54:33.312, -534525
16:54:33.412, -550865
16:54:33.512, -550911
16:54:33.612, -550902
16:54:33.712, -550834
16:54:33.812, -550831
16:54:34.012, -550871
16:54:34.112, -550885
16:54:34.212, -550932
16:54:34.312, -550829
16:54:34.412, -550801
16:54:34.512, -550853
16:54:34.612, -550880
16:54:34.712, -550864
16:54:34.812, -550903
16:54:34.912, -550925
16:54:35.012, -550873
16:54:35.112, -550844
16:54:35.212, -550852
16:54:35.312, -550870
16:54:35.412, -550872
16:54:35.512, -550891
16:54:35.612, -550885
